ano,pib_sc,pib_br,pib_usa,pib_chn,selic_over,cambio_uss,selic_over_1,cambio_uss_1
2003,263122282.9653496,1253781634016.713,14477988212152.773,3681006926650.7383,23.29,3.071526087,19.1,2.930935573
2004,280445903.46386397,1325999012757.6345,15035068144475.613,4053944733453.6616,16.25,2.925726587,23.29,3.071526087
2005,289754799.2586124,1368459252277.7253,15558822251116.695,4518455387849.413,19.13,2.434087251,16.25,2.925726587
2006,295396376.4372724,1422677453370.699,15992063823932.84,5091154930758.422,15.28,2.177107229,19.13,2.434087251
2007,313449360.740255,1509032133942.1814,16312522122064.74,5811552614974.091,11.98,1.9483076,15.28,2.177107229
2008,319877154.3375215,1585905180197.004,16331051067048.848,6373544042638.006,12.38,1.837467323,11.98,1.9483076
2009,317169038.9140471,1583909921137.4202,15910281498377.469,6972829250985.097,10.03,1.9935492,12.38,1.837467323
2010,338462438.38343114,1703150236756.7844,16339094225152.506,7711689202853.286,9.82,1.759307171,10.03,1.9935492
2011,351604546.1190092,1770840632844.1025,16594704135316.656,8441318020902.425,11.67,1.674634263,9.82,1.759307171
2012,356333639.40232944,1804861597828.479,16974575729098.225,9104482675356.357,8.54,1.954991633,11.67,1.674634263
2013,369216283.7120452,1859094488272.1243,17334068402873.9,9812695262900.89,8.19,2.16050751,8.54,1.954991633
2014,377513144.94106877,1868463501662.2988,17771549055750.484,10544908798423.977,10.86,2.35471581,8.19,2.16050751
2015,364570542.7000703,1802212206814.504,18295019000000.0,11280814787468.914,13.38,3.338696,10.86,2.35471581
2016,356953884.5116348,1743173232416.637,18627887993267.523,12045152668727.28,14.08,3.483327092,13.38,3.338696
2017,372048387.7739929,1766233131666.655,19085691122935.24,12875216222853.414,10.08,3.192545382,14.08,3.483327092
2018,390626315.72377366,1797736844969.1604,19651869117582.47,13745158275136.672,6.48,3.6557844,10.08,3.192545382
2019,405097780.97925496,1819683217699.3813,20159639089698.133,14579283528148.377,5.94,3.946118577,6.48,3.6557844
2020,394913750.4880745,1760056587795.4631,19723580221938.24,14920466234565.322,2.77,5.157772908,5.94,3.946118577
2021,428570883.0,1843881119920.2031,20917853444668.305,16199162892908.637,4.46,5.395560558,2.77,5.157772908
2022,437324665.0453239,1899505377558.02,21443388432051.027,16706875253648.482,12.45,5.16548247,4.46,5.395560558
2023,447794946.4009507,1961080794855.5972,22062578283266.758,17611526369126.55,13.21,4.995348193,12.45,5.16548247
2024,472930181.52443063,2027676479714.6897,22679489969555.61,18488114837769.33,10.83,5.392016206,13.21,4.995348193
2025,484818917.14761376,2078368391707.5566,22951643849190.277,19320080005468.945,,,10.83,5.91
2026,490592685.2818152,2119935759541.7078,23295918506928.13,20131523365698.64,,,14.0,5.85
2027,504036005.95848686,2151734795934.8333,23761836877066.69,20876389730229.49,,,12.5,5.9
2028,520005042.28726315,2194769491853.53,24237073614608.027,21627939760517.75,,,10.5,5.8
2029,534820411.31729007,2238664881690.6006,24721815086900.188,22363289712375.355,,,10.0,5.82
2030,549006891.430849,2283438179324.4126,25216251388638.19,23123641562596.117,,,10.0,5.8
